Order Number,Ship From,Ship To,Commodity,Order Value,Weight (KG),Volume,Shipper Name,Shipper Address,Shipper Country,Consignee Country,Order Date,Required Delivery Date,Journey Type,Tax Percentage
1,Singapore Warehouse,Wuxi Warehouse,Honey,50000,21000,34,YCH,8 Bulim Ave,Singapore,China,01-Feb-18,25-Feb-18,International,0.03
2,Malaysia Warehouse,Shanghai Warehouse,Furniture,10000,20000,67,YCH,8 Bulim Ave,Malaysia,China,02-Feb-18,23-Feb-18,International,0.01
3,Singapore Warehouse,Shanghai Warehouse,Paper plates,12000,20000,67,YCH,8 Bulim Ave,Singapore,China,03-Feb-18,23-Feb-18,International,0.01
4,Singapore Warehouse,Shanghai Warehouse,Pharmaceutical drugs,800000,20,7,YCH,8 Bulim Ave,Singapore,China,04-Feb-18,24-Feb-18,International,0.1
5,Wuxi Warehouse,Malaysia Warehouse,Cigarette,700000,5000,50,YCH,8 Bulim Ave,China,Malaysia,05-Feb-18,22-Feb-18,International,0.15
6,Shanghai Warehouse,Singapore Warehouse,Apple,30000,25000,67,YCH,8 Bulim Ave,China,Singapore,06-Feb-18,23-Feb-18,International,0.01
7,Malaysia Warehouse,Singapore Warehouse,Durian,10000,10000,34,YCH,8 Bulim Ave,Malaysia,Singapore,07-Feb-18,24-Feb-18,International,0.01
8,Wuxi Warehouse,Shanghai Warehouse,Furniture,10000,20000,67,YCH,8 Bulim Ave,China,China,08-Feb-18,25-Feb-18,Domestic,0.0
9,Wuxi Airport,Wuxi Warehouse,Electronics,19900,604,30,YCH,8 Bulim Ave,Singapore,Malaysia,01-Jan-24,11-Jan-24,Domestic,0.13504279285303272
10,Shanghai Railway Station,Wuxi Airport,Pharmaceuticals,29798,4090,56,YCH,8 Bulim Ave,Malaysia,Malaysia,02-Jan-24,12-Jan-24,International,0.1066448007770469
11,Wuxi Port,Singapore Railway Station,Furniture,8002,956,23,YCH,8 Bulim Ave,Malaysia,Singapore,03-Jan-24,13-Jan-24,Domestic,0.04231580320432744
12,Shanghai Warehouse,Shanghai Port,Pharmaceuticals,42175,1441,18,YCH,8 Bulim Ave,China,Malaysia,04-Jan-24,14-Jan-24,International,0.10054597236698236
13,Shanghai Railway Station,Malaysia Port,Pharmaceuticals,66017,2488,12,YCH,8 Bulim Ave,Singapore,China,05-Jan-24,15-Jan-24,International,0.08013860939582303
14,Wuxi Warehouse,Malaysia Railway Station,Textiles,4787,4507,49,YCH,8 Bulim Ave,China,China,06-Jan-24,16-Jan-24,Domestic,0.09500258801571589
15,Shanghai Airport,Singapore Airport,Pharmaceuticals,40496,4078,31,YCH,8 Bulim Ave,China,Singapore,07-Jan-24,17-Jan-24,International,0.061584138631948226
16,Shanghai Airport,Shanghai Warehouse,Electronics,71376,3946,3,YCH,8 Bulim Ave,Singapore,China,08-Jan-24,18-Jan-24,Domestic,0.06500113031905845
17,Singapore Airport,Wuxi Warehouse,Furniture,40662,1040,67,YCH,8 Bulim Ave,Malaysia,China,09-Jan-24,19-Jan-24,Domestic,0.11113072327358592
18,Singapore Railway Station,Malaysia Warehouse,Pharmaceuticals,17489,463,90,YCH,8 Bulim Ave,Singapore,China,10-Jan-24,20-Jan-24,International,0.09437382198261213
19,Wuxi Warehouse,Shanghai Port,Pharmaceuticals,78007,3852,14,YCH,8 Bulim Ave,Malaysia,Malaysia,11-Jan-24,21-Jan-24,Domestic,0.09671042746199002
20,Malaysia Port,Malaysia Airport,Furniture,74649,1458,90,YCH,8 Bulim Ave,China,Singapore,12-Jan-24,22-Jan-24,International,0.0510069010937019
21,Wuxi Airport,Wuxi Warehouse,Furniture,25426,4410,67,YCH,8 Bulim Ave,China,Singapore,13-Jan-24,23-Jan-24,Domestic,0.047215685249996996
22,Wuxi Port,Wuxi Railway Station,Furniture,20054,1204,18,YCH,8 Bulim Ave,Malaysia,Singapore,14-Jan-24,24-Jan-24,Domestic,0.04489687628341891
23,Shanghai Airport,Malaysia Warehouse,Electronics,24672,1429,68,YCH,8 Bulim Ave,China,Malaysia,15-Jan-24,25-Jan-24,International,0.013891591426733779
24,Singapore Warehouse,Wuxi Warehouse,Furniture,81628,2586,45,YCH,8 Bulim Ave,China,China,16-Jan-24,26-Jan-24,International,0.0629543793949392
25,Wuxi Airport,Singapore Warehouse,Textiles,77338,1013,59,YCH,8 Bulim Ave,Malaysia,China,17-Jan-24,27-Jan-24,Domestic,0.05700943693026477
26,Malaysia Railway Station,Singapore Railway Station,Furniture,93349,1237,59,YCH,8 Bulim Ave,Singapore,Singapore,18-Jan-24,28-Jan-24,International,0.0340445886064282
27,Shanghai Warehouse,Singapore Railway Station,Pharmaceuticals,37997,4148,91,YCH,8 Bulim Ave,Malaysia,Singapore,19-Jan-24,29-Jan-24,Domestic,0.026953776916287614
28,Singapore Airport,Shanghai Port,Textiles,97653,66,38,YCH,8 Bulim Ave,Singapore,Malaysia,20-Jan-24,30-Jan-24,Domestic,0.10880145521872742
29,Singapore Railway Station,Shanghai Railway Station,Textiles,42638,546,74,YCH,8 Bulim Ave,China,Malaysia,21-Jan-24,31-Jan-24,International,0.12738721917855708
30,Shanghai Airport,Shanghai Airport,Electronics,85058,3358,22,YCH,8 Bulim Ave,Malaysia,Malaysia,22-Jan-24,01-Feb-24,Domestic,0.05409836426126914
31,Malaysia Port,Singapore Warehouse,Electronics,54147,4850,72,YCH,8 Bulim Ave,China,Malaysia,23-Jan-24,02-Feb-24,Domestic,0.032980502192616744
32,Wuxi Airport,Malaysia Airport,Electronics,80318,1296,28,YCH,8 Bulim Ave,China,Malaysia,24-Jan-24,03-Feb-24,International,0.09173012138642896
33,Malaysia Airport,Singapore Railway Station,Furniture,85368,4891,21,YCH,8 Bulim Ave,China,Malaysia,25-Jan-24,04-Feb-24,International,0.14381522866400806
34,Malaysia Airport,Malaysia Warehouse,Pharmaceuticals,32118,1996,53,YCH,8 Bulim Ave,Singapore,Malaysia,26-Jan-24,05-Feb-24,Domestic,0.060367554693421144
35,Singapore Airport,Malaysia Railway Station,Furniture,42650,2131,31,YCH,8 Bulim Ave,Singapore,Singapore,27-Jan-24,06-Feb-24,International,0.14597090766558968
36,Singapore Airport,Shanghai Warehouse,Furniture,3678,2651,50,YCH,8 Bulim Ave,China,China,28-Jan-24,07-Feb-24,Domestic,0.11108883602806861
37,Malaysia Airport,Singapore Port,Pharmaceuticals,3425,3743,97,YCH,8 Bulim Ave,Malaysia,Singapore,29-Jan-24,08-Feb-24,International,0.04899637985448721
38,Wuxi Warehouse,Malaysia Warehouse,Electronics,53351,3790,73,YCH,8 Bulim Ave,Malaysia,China,30-Jan-24,09-Feb-24,Domestic,0.14800914999354375
39,Malaysia Port,Malaysia Port,Furniture,83588,1841,31,YCH,8 Bulim Ave,Malaysia,Malaysia,31-Jan-24,10-Feb-24,Domestic,0.1227062178998714
40,Singapore Airport,Singapore Warehouse,Textiles,5826,2310,98,YCH,8 Bulim Ave,Singapore,China,01-Feb-24,11-Feb-24,International,0.01210933315061392
41,Wuxi Airport,Shanghai Railway Station,Furniture,17054,800,46,YCH,8 Bulim Ave,Malaysia,China,02-Feb-24,12-Feb-24,Domestic,0.11488808584819427
42,Wuxi Railway Station,Shanghai Railway Station,Electronics,40740,801,13,YCH,8 Bulim Ave,Malaysia,Malaysia,03-Feb-24,13-Feb-24,International,0.07989922522876827
43,Wuxi Warehouse,Singapore Railway Station,Textiles,63760,737,15,YCH,8 Bulim Ave,Malaysia,Singapore,04-Feb-24,14-Feb-24,International,0.08018554662834253
44,Malaysia Warehouse,Singapore Railway Station,Pharmaceuticals,19984,678,71,YCH,8 Bulim Ave,Singapore,Singapore,05-Feb-24,15-Feb-24,Domestic,0.09370120270603856
45,Shanghai Port,Wuxi Warehouse,Electronics,88488,4005,50,YCH,8 Bulim Ave,China,Malaysia,06-Feb-24,16-Feb-24,Domestic,0.14465893613683614
46,Malaysia Railway Station,Wuxi Port,Pharmaceuticals,63622,2000,79,YCH,8 Bulim Ave,China,China,07-Feb-24,17-Feb-24,International,0.06016594425265857
47,Shanghai Railway Station,Singapore Port,Pharmaceuticals,18840,728,69,YCH,8 Bulim Ave,Malaysia,Malaysia,08-Feb-24,18-Feb-24,International,0.10548377510476348
48,Shanghai Warehouse,Malaysia Warehouse,Pharmaceuticals,10440,3207,57,YCH,8 Bulim Ave,Malaysia,China,09-Feb-24,19-Feb-24,Domestic,0.09492926533272558
49,Shanghai Port,Singapore Port,Textiles,54376,4207,52,YCH,8 Bulim Ave,China,China,10-Feb-24,20-Feb-24,International,0.07867629999942027
50,Wuxi Airport,Singapore Railway Station,Electronics,13192,426,31,YCH,8 Bulim Ave,Singapore,China,11-Feb-24,21-Feb-24,Domestic,0.04496785726411266
51,Shanghai Warehouse,Malaysia Warehouse,Electronics,17166,3394,56,YCH,8 Bulim Ave,China,Malaysia,12-Feb-24,22-Feb-24,Domestic,0.029818778564839263
52,Wuxi Airport,Singapore Airport,Textiles,90725,2206,38,YCH,8 Bulim Ave,Malaysia,China,13-Feb-24,23-Feb-24,International,0.011708385054914183
53,Wuxi Railway Station,Singapore Warehouse,Electronics,29119,3988,78,YCH,8 Bulim Ave,Singapore,Malaysia,14-Feb-24,24-Feb-24,Domestic,0.07280832687924464
54,Shanghai Warehouse,Wuxi Warehouse,Pharmaceuticals,74657,4132,90,YCH,8 Bulim Ave,China,China,15-Feb-24,25-Feb-24,Domestic,0.02726217354173565
55,Wuxi Port,Malaysia Airport,Textiles,66770,3894,27,YCH,8 Bulim Ave,Singapore,China,16-Feb-24,26-Feb-24,Domestic,0.12515189832398807
56,Singapore Railway Station,Shanghai Port,Furniture,78440,4223,7,YCH,8 Bulim Ave,Singapore,Malaysia,17-Feb-24,27-Feb-24,Domestic,0.07687841105266197
57,Shanghai Port,Shanghai Railway Station,Furniture,99344,2489,47,YCH,8 Bulim Ave,Malaysia,Singapore,18-Feb-24,28-Feb-24,International,0.05330838991051253
58,Singapore Warehouse,Malaysia Warehouse,Textiles,74389,3801,64,YCH,8 Bulim Ave,Malaysia,Singapore,19-Feb-24,29-Feb-24,Domestic,0.14883771278604938
59,Shanghai Port,Shanghai Airport,Pharmaceuticals,12440,2314,47,YCH,8 Bulim Ave,Malaysia,Singapore,20-Feb-24,01-Mar-24,Domestic,0.14729629359953647
60,Wuxi Warehouse,Singapore Railway Station,Furniture,63199,2757,1,YCH,8 Bulim Ave,Singapore,Malaysia,21-Feb-24,02-Mar-24,International,0.0926000502371083
