Route Number,Source,Destination,Container Size,Carrier,Travel Mode,Fixed Freight Cost,Port/Airport/Rail Handling Cost,Bunker/ Fuel Cost,Documentation Cost,Equipment Cost,Extra Cost,Warehouse Cost,Transit Duty,CustomClearance time (hours),Port/Airport/Rail Handling time (hours),Extra Time,Transit time (hours),Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Singapore Port,Shanghai Port,67,COSCO,Sea,300,300,400,180,20,0,12.5,0.002,24,48,0,120.0,1,0,1,0,0,0,0
2,Shanghai Port,Singapore Port,67,COSCO,Sea,150,300,400,180,20,0,12.5,0.001,24,48,0,120.0,1,0,1,0,0,0,0
3,Singapore Port,Malaysia Port,34,COSCO,Sea,50,280,200,150,20,0,12.5,0.0,24,48,0,24.0,0,1,0,1,0,1,0
4,Malaysia Port,Singapore Port,34,COSCO,Sea,50,280,200,150,20,0,12.5,0.001,24,48,0,24.0,0,1,0,1,0,1,0
5,Shanghai Port,Malaysia Port,67,COSCO,Sea,300,180,400,130,20,0,12.5,0.0,24,48,0,96.0,0,0,1,0,0,1,0
6,Malaysia Port,Shanghai Port,67,COSCO,Sea,150,180,400,130,20,0,12.5,0.002,24,48,0,96.0,0,0,1,0,0,1,0
7,Shanghai Port,Wuxi Port,34,COSCO,Sea,100,150,80,100,20,0,12.5,0.0,24,48,0,5.0,1,0,1,0,1,0,1
8,Wuxi Port,Shanghai Port,34,COSCO,Sea,100,150,80,100,20,0,12.5,0.0,24,48,0,5.0,1,0,1,0,1,0,1
9,Singapore Airport,Shanghai Airport,7,DHL,Air,900,600,600,180,25,0,12.5,0.002,24,8,0,5.0,1,1,1,1,1,1,1
10,Shanghai Airport,Singapore Airport,7,DHL,Air,450,600,600,180,25,0,12.5,0.001,24,8,0,5.0,1,1,1,1,1,1,1
11,Singapore Airport,Malaysia Airport,7,DHL,Air,150,560,400,150,25,0,12.5,0.0,24,8,0,2.0,1,1,1,1,1,1,1
12,Malaysia Airport,Singapore Airport,7,DHL,Air,150,560,400,150,25,0,12.5,0.001,24,8,0,2.0,1,1,1,1,1,1,1
13,Shanghai Airport,Malaysia Airport,7,DHL,Air,900,360,600,130,25,0,12.5,0.0,24,8,0,4.5,1,1,1,1,1,1,1
14,Malaysia Airport,Shanghai Airport,7,DHL,Air,450,360,600,130,25,0,12.5,0.002,24,8,0,4.5,1,1,1,1,1,1,1
15,Singapore Airport,Wuxi Airport,7,DHL,Air,2000,700,800,200,25,0,12.5,0.002,24,8,0,7.0,1,1,1,1,1,1,1
16,Wuxi Airport,Singapore Airport,7,DHL,Air,2000,700,800,200,25,0,12.5,0.001,24,8,0,7.0,1,1,1,1,1,1,1
17,Malaysia Airport,Wuxi Airport,7,DHL,Air,1800,700,800,190,25,0,12.5,0.002,24,8,0,6.5,1,1,1,1,1,1,1
18,Wuxi Airport,Malaysia Airport,7,DHL,Air,1800,700,800,190,25,0,12.5,0.0,24,8,0,6.5,1,1,1,1,1,1,1
19,Shanghai Railway Station,Wuxi Railway Station,34,Railway Authority,Rail,80,100,100,50,15,0,12.5,0.0,24,24,0,36.0,1,1,1,1,1,1,1
20,Wuxi Railway Station,Shanghai Railway Station,34,Railway Authority,Rail,80,100,100,50,15,0,12.5,0.0,24,24,0,36.0,1,1,1,1,1,1,1
21,Singapore Railway Station,Malaysia Railway Station,34,Evergreen,Rail,100,500,200,150,30,0,12.5,0.0,24,48,0,96.0,1,1,1,0,0,1,0
22,Malaysia Railway Station,Singapore Railway Station,34,Evergreen,Rail,100,500,200,150,30,0,12.5,0.001,24,48,0,96.0,1,1,1,0,0,1,0
23,Singapore Warehouse,Singapore Port,34,KTM,Truck,100,0,0,0,0,0,20.0,0.0,4,0,0,2.0,1,1,1,1,1,1,1
24,Singapore Port,Singapore Warehouse,34,KTM,Truck,100,0,0,0,0,0,12.5,0.0,4,0,0,2.0,1,1,1,1,1,1,1
25,Singapore Warehouse,Singapore Airport,34,KTM,Truck,100,0,0,0,0,0,20.0,0.0,4,0,0,2.0,1,1,1,1,1,1,1
26,Singapore Airport,Singapore Warehouse,34,KTM,Truck,100,0,0,0,0,0,12.5,0.0,4,0,0,2.0,1,1,1,1,1,1,1
27,Singapore Warehouse,Singapore Railway Station,34,KTM,Truck,100,0,0,0,0,0,20.0,0.0,4,0,0,2.0,1,1,1,1,1,1,1
28,Singapore Railway Station,Singapore Warehouse,34,KTM,Truck,100,0,0,0,0,0,12.5,0.0,4,0,0,2.0,1,1,1,1,1,1,1
29,Malaysia Warehouse,Malaysia Port,34,KTM,Truck,80,0,0,0,0,0,10.0,0.0,4,0,0,3.0,1,1,1,1,1,1,1
30,Malaysia Port,Malaysia Warehouse,34,KTM,Truck,80,0,0,0,0,0,12.5,0.0,4,0,0,3.0,1,1,1,1,1,1,1
31,Malaysia Warehouse,Malaysia Airport,34,KTM,Truck,80,0,0,0,0,0,10.0,0.0,4,0,0,3.0,1,1,1,1,1,1,1
32,Malaysia Airport,Malaysia Warehouse,34,KTM,Truck,80,0,0,0,0,0,12.5,0.0,4,0,0,3.0,1,1,1,1,1,1,1
33,Malaysia Warehouse,Malaysia Railway Station,34,KTM,Truck,80,0,0,0,0,0,10.0,0.0,4,0,0,3.0,1,1,1,1,1,1,1
34,Malaysia Railway Station,Malaysia Warehouse,34,KTM,Truck,80,0,0,0,0,0,12.5,0.0,4,0,0,3.0,1,1,1,1,1,1,1
35,Wuxi Warehouse,Wuxi Port,34,KTM,Truck,80,0,0,0,0,0,8.0,0.0,4,0,0,3.0,1,1,1,1,1,1,1
36,Wuxi Port,Wuxi Warehouse,34,KTM,Truck,80,0,0,0,0,0,12.5,0.0,4,0,0,3.0,1,1,1,1,1,1,1
37,Wuxi Warehouse,Wuxi Airport,34,KTM,Truck,80,0,0,0,0,0,8.0,0.0,4,0,0,3.0,1,1,1,1,1,1,1
38,Wuxi Airport,Wuxi Warehouse,34,KTM,Truck,80,0,0,0,0,0,12.5,0.0,4,0,0,3.0,1,1,1,1,1,1,1
39,Wuxi Warehouse,Wuxi Railway Station,34,KTM,Truck,80,0,0,0,0,0,8.0,0.0,4,0,0,3.0,1,1,1,1,1,1,1
40,Wuxi Railway Station,Wuxi Warehouse,34,KTM,Truck,100,0,0,0,0,0,12.5,0.0,4,0,0,3.0,1,1,1,1,1,1,1
41,Shanghai Warehouse,Shanghai Port,34,KTM,Truck,100,0,0,0,0,0,15.0,0.0,4,0,0,3.0,1,1,1,1,1,1,1
42,Shanghai Port,Shanghai Warehouse,34,KTM,Truck,100,0,0,0,0,0,12.5,0.0,4,0,0,3.0,1,1,1,1,1,1,1
43,Shanghai Warehouse,Shanghai Airport,34,KTM,Truck,100,0,0,0,0,0,15.0,0.0,4,0,0,3.0,1,1,1,1,1,1,1
44,Shanghai Airport,Shanghai Warehouse,34,KTM,Truck,100,0,0,0,0,0,12.5,0.0,4,0,0,3.0,1,1,1,1,1,1,1
45,Shanghai Warehouse,Shanghai Railway Station,34,KTM,Truck,100,0,0,0,0,0,15.0,0.0,4,0,0,3.0,1,1,1,1,1,1,1
46,Shanghai Railway Station,Shanghai Warehouse,34,KTM,Truck,100,0,0,0,0,0,12.5,0.0,4,0,0,3.0,1,1,1,1,1,1,1
47,Singapore Warehouse,Malaysia Warehouse,34,KTM,Truck,150,0,0,0,0,0,20.0,0.0,4,0,0,6.0,1,1,1,1,1,1,1
48,Malaysia Warehouse,Singapore Warehouse,34,KTM,Truck,150,0,0,0,0,0,10.0,0.001,4,0,0,6.0,1,1,1,1,1,1,1
49,Shanghai Warehouse,Wuxi Warehouse,34,KTM,Truck,125,0,0,0,0,0,15.0,0.0,4,0,0,4.0,1,1,1,1,1,1,1
50,Wuxi Warehouse,Shanghai Warehouse,34,KTM,Truck,125,0,0,0,0,0,8.0,0.0,4,0,0,4.0,1,1,1,1,1,1,1
51,Singapore Railway Station,Singapore Port,34,KTM,Air,401,336,428,142,103,57,197.60046107337698,1.7155051896534401,60,39,7,39.832055076518415,1,1,0,0,0,0,1
52,Wuxi Airport,Shanghai Airport,7,KTM,Rail,215,103,378,188,273,147,111.48396412255076,5.905840246737546,28,58,6,187.49494040367426,1,0,0,1,0,0,0
53,Malaysia Port,Wuxi Railway Station,34,Railway Authority,Air,171,357,346,54,257,120,194.32154266999703,7.529706647837958,52,64,9,172.09529621479652,0,1,0,1,1,1,0
54,Shanghai Warehouse,Wuxi Railway Station,7,DHL,Truck,207,290,188,175,140,117,133.4570257212182,8.744071691075513,55,25,4,34.54520587548959,0,1,1,0,0,1,1
55,Singapore Airport,Shanghai Airport,67,Railway Authority,Air,234,283,366,148,227,66,197.08552032790053,7.842669748199347,66,61,7,42.241783666743956,0,0,1,0,1,0,0
56,Malaysia Railway Station,Shanghai Port,67,KTM,Truck,380,247,132,140,248,121,55.01934518400637,8.443542579353382,40,61,4,59.97401596115208,1,0,1,0,1,0,1
57,Malaysia Warehouse,Singapore Railway Station,7,DHL,Rail,132,403,173,162,257,145,64.58644027143175,4.240336158939508,64,50,5,134.3522931873112,1,1,1,1,1,1,1
58,Shanghai Warehouse,Malaysia Airport,67,DHL,Truck,356,174,319,179,217,139,196.9816159020491,8.711198976656135,35,58,2,161.848887651733,1,1,0,0,1,1,0
59,Singapore Airport,Shanghai Railway Station,67,DHL,Sea,200,462,246,126,237,100,58.413669927969124,6.4061909828563,51,62,7,128.20427515018383,1,0,0,1,1,0,0
60,Shanghai Warehouse,Singapore Railway Station,67,Railway Authority,Truck,490,335,243,118,127,149,108.72858119298327,9.136053312047538,40,44,4,176.52887811536843,0,0,1,1,0,1,0
61,Singapore Railway Station,Singapore Railway Station,7,COSCO,Air,70,441,282,90,178,114,133.4341584771156,6.066640032584246,36,61,3,170.83958841942822,0,1,0,1,0,1,0
